263,420,143,390,476
297,48,484,457,232
420,204,425,4,377
392,39,78,55,453
30,243,39,458,397
417,453,387,123,472
312,89,85,5,113
136,317,236,443,416
142,431,210,105,101
70,212,326,34,31
420,241,329,214,27
234,131,1,166,473
183,360,77,433,313
390,279,479,317,155
159,201,340,457,184
422,329,164,157,428
59,218,139,426,238
403,324,368,169,275
430,394,420,212,299
64,405,294,413,371
446,224,352,349,370
260,61,113,187,393
335,30,222,368,269
371,175,368,164,174
139,238,366,168,123
316,371,224,245,333
435,147,320,189,400
355,346,451,459,434
460,289,159,171,41
456,383,194,492,44
113,450,263,165,142
254,409,461,319,257
468,15,129,122,10
56,49,94,180,352
445,375,132,171,100
96,353,491,72,308
264,209,294,344,162
355,287,181,442,446
313,343,21,170,88
88,383,410,128,208
9,431,416,51,480
450,264,209,135,231
81,208,289,155,406
211,56,117,37,64
100,61,169,467,148
462,393,299,171,168
75,422,280,295,393
113,328,346,340,343
484,324,110,80,409
499,158,459,66,347
