143,390,476
484,457,232
425,4,377
78,55,453
39,458,397
387,123,472
85,5,113
236,443,416
210,105,101
326,34,31
329,214,27
1,166,473
77,433,313
479,317,155
340,457,184
164,157,428
139,426,238
368,169,275
420,212,299
294,413,371
352,349,370
113,187,393
222,368,269
368,164,174
366,168,123
224,245,333
320,189,400
451,459,434
159,171,41
194,492,44
263,165,142
461,319,257
129,122,10
94,180,352
132,171,100
491,72,308
294,344,162
181,442,446
21,170,88
410,128,208
416,51,480
209,135,231
289,155,406
117,37,64
169,467,148
299,171,168
280,295,393
346,340,343
110,80,409
459,66,347
