126	7022,8194,857,5054,3839,8135,5673,3471,2077,1274,6158,7279,6863,7203,72,5391,1108,6177,2142,3242,1043,1387,7354,6331,7663,5796,6282,5737,5356,7349,5778,3965,6815
93	5886
212	3536,7253,7096
363	5124
481	1372,4228
354	428,5430,35
205	5501,7691,6634
173	8015,1258,8056,8074,3782,5144,7414,6752,2359,7621,919,6253,6264,242,4463,4627,5230,2746,7767,1380,893,5299,6517,1377,183,4748,3291,7914,5694,2391,2641,6615,1147,21,639,7119,7150,3438,628,1655,2898
210	1866,4819,7452,838,6974,4560,2195,1142,3188,5658,5321,3563,1246,1189,2300,922,5322
216	824,6736,5496,3902,5290,2626,1739,5914,6446,2819,6392,5984,164,3516,2458,3439,3210,5788,6032,2675,7579,171,2636,8193,3143
451	5135,5013
95	6819
106	3173,3787,6787,3396,8169,4827,4068,2176,2577,6436,1700,3794,4038,3104
108	2027
45	1071
423	906
88	8051
190	1618
408	4305
374	4595
160	8145
52	1372,1547,1643,398,930,920,3867,3342,84,191,59,288,297,2572,4140,2702,1551,1956,1650,1693,581
227	3555
226	2480,3277,7168,7915,6059,206,4243,1097,4305
139	2087
82	5794,5785,7523,2418,4978
156	4443
236	4543,6269,1968,897,227,154,8131,5630
468	3967
487	2472
460	8063
235	5155,1258,7128,5079,401,6351,7672,7090,5982,3220,1025,4243,27,5679,1896,2582,5827,1253,1576,6719,6212,2861,6490,3015,1664,1434,411,1693,2850,5959,8115,7253
21	904
260	5008
191	6896,3259,6010
330	2287
206	3706
376	4214,8037,4276,8292,1616
230	238
154	5861
109	295
494	1943
495	2445
446	2899,6780
31	6302
13	580,6383,1666,4192,4290,1246,3685
162	6116
390	703,7751,4751,1489,432,196,7780,2306,2198,2719,2116,3687,4625,3073,6927,2444,5783,7647,2643,4552,5687,4714,3526,1408,5129,3780,3253,6600,1639,7621,5872,4538,8212,2892,7675,5839,448,4953,6408,2998,2524,159,525,8094,2758,1319,573,4378,2546,3623,6826,6532,5770,2469,6657,6394,7380,625,376,4371,27,2658,3009,2001,2027,1827,3816,3775,4781,4588,1366,7151,1400,2093,5576,4448,3457,8290,6890,2344,2180,5848,4126,211,4335,3300,1239,2813,4530,3188,2467,817,3439,6314,7449,2976,3187,3594,910,2540,2830,239,7137,6846,1200,5595,399,5963,7536,7255,4351,7878,4273,4422,1010,1693,4209,3099,5351,898,6909,7993,7114,1602,8167,4208,1535,4409,3377,8182,5964,8190,3247,3249,8025,2798,6447,4275,6905,5203,3373,751,4645,2257,5460,8156,3807,7383,1848,4206,7930,6261
287	589,6747
288	2388,172,44,699,1394,2627,4427,904,5216,3043,7355,2475,7751,4751,6391,4945,992,5288,2472,7409,1489,2560,3173,3530,4821,7528,3694,2241,1783,7790,713,1921,7022,336,255,4007,962,5696,1299,1846,7651,120,7036,5764,6287,7117,779,1887,7189,3455,745,3668,2037,8142,1206,2133,5652,1940,3666,1219,6257,109,196,2586,6511,592,6594,7116,62,931,2403,2930,1799,3323,1915,1431,3029,8128,3039,4316,1955,4185,5178,733,5841,527,2306,2728,5022,309,2847,3924,3423,3877,791,803,4044,7003,1258,6078,2049,3805,1399,1715,2845,2857,3285,1087,4764,4475,7745,7341,8274,636,2126,5326,5232,3468,3034,1958,1738,181,4263,7005,4651,5678,5812,690,1695,7468,857,155,6441,541,530,2656,968,1448,414,2205,2831,7810,1182,6652,5422,2218,562,6579,2116,4807,6240,6755,5859,7359,3418,4977,8028,8153,1413,6427,3181,5127,5060,394,5069,5044,2620,3262,2338,5285,2748,1879,6928,742,6118,1631,4407,4924,3073,7832,3050,6160,6176,6660,2345,3361,3255,5079,4533,3088,6281,2324,2304,4072,4833,4062,4641,714,2350,3014,3688,3837,7327,5637,7387,5227,4324,5214,2090,1336,5549,6113,3400,1020,2363,1659,4630,5426,367,497,1127,2447,1717,4097,7010,1199,6305,2044,310,4061,5010,7877,800,2319,6927,2444,1832,8179,2864,7743,2317,274,7804,7415,5529,6833,3124,8146,2896,7677,5631,1704,3678,594,1171,7421,7805,986,4985,6039,3581,1248,5850,3346,2966,1107,1466,1053,3270,7057,1980,5761,2579,3585,2575,7020,1643,1343,6581,3399,7647,3782,6617,4216,5863,6536,5031,7966,3657,5965,2787,1132,1672,5070,3658,2112,8,5884,780,2754,4023,5195,4568,116,4988,1322,6875,2212,2462,8163,2136,4180,3576,64,2632,3784,3123,3839,108,12,2715,3272,641,5209,1741,6764,1876,1694,6717,933,7679,5775,7830,5721,4389,677,3030,1740,7129,3111,5073,4743,1616,3319,3680,8135,5565,4780,7265,5129,670,1966,2372,4586,6244,1237,1421,329,3780,5673,397,7771,7139,7775,2359,8133,5500,8088,646,3005,5636,6479,34,6202,1883,7783,3932,5886,3858,5033,3000,3483,3350,6854,2775,3138,8238,1416,243,5643,1685,1064,7473,7352,5760,2603,7754,6298,6787,214,850,5872,4137,1420,598,1231,4940,7302,3208,951,6388,6691,876,1011,2522,4801,2717,5938,1337,6351,7919,5733,3840,2012,4077,5750,1157,4852,7829,3976,7613,5368,2556,4842,3645,1103,2799,5329,5475,426,463,6323,7127,7074,1594,663,7418,5767,4908,5361,4155,3089,5599,5916,7290,6197,337,3509,1151,1224,74,3244,8161,7675,4742,2722,4228,2917,5328,5518,7672,1406,6253,1845,3062,5028,4750,8186,3446,7006,5154,373,2362,8172,4739,6770,6276,2056,4867,7915,5217,3480,3539,6714,7394,3769,7819,2779,5839,4703,2805,3437,7472,7629,1522,448,4609,2677,2918,3635,7059,3475,4291,929,1174,5526,1953,5053,3673,1075,1254,65,1993,1409,4584,6408,3197,7665,2867,2752,207,2998,40,7320,4295,4528,1459,7721,6297,6703,3008,5837,5942,5883,501,1284,7393,2331,1191,5983,7620,2326,5485,1721,5503,4070,5001,6128,1555,7229,7205,6963,2718,36,2268,7564,6355,5754,6366,4088,1782,1720,4150,4946,5714,84,1705,1861,6215,5439,1674,2623,1532,7474,4269,1796,5480,1900,2713,4875,1943,5961,6480,8094,1819,3822,431,4915,1437,7254,5477,7599,4574,5465,1211,5708,1731,1350,4694,5533,990,7912,7857,3042,3543,2040,4859,3876,7262,5201,620,8175,5282,5735,4000,1008,2516,1282,1744,6483,4331,6654,7090,1252,3133,6245,5145,3298,1319,4257,7856,1093,6914,2366,6542,1513,6908,2266,1519,8005,6059,940,98,3544,5469,4373,6264,5592,5707,5946,6788,5605,415,3117,1502,3292,8253,7132,7719,2240,455,1557,2546,2106,3726,3258,4296,1709,8130,6543,4197,3841,242,7188,4665,4489,5078,2002,5960,5269,1572,7252,5092,6158,3848,6684,4405,5973,1723,5617,390,2054,5248,396,2470,1156,5559,7461,1707,4050,2083,6241,7614,1327,4560,8248,855,7616,3881,3663,7392,4524,3482,162,6701,5770,1351,2803,2518,284,3355,6359,6124,2382,8284,3077,421,8168,1821,4539,4594,4322,726,5164,1834,1591,7316,531,6901,7645,1862,419,3166,1293,3371,1663,8126,7040,2055,2839,7855,3897,1869,6753,5603,1909,3695,1212,2767,2242,6376,3508,4937,6394,2574,7985,7623,7546,1749,3360,4749,5633,6048,563,3351,3895,4244,2064,2555,7602,6852,6038,7237,8139,2801,798,4464,3774,2645,6149,7305,5832,5150,1830,6469,1018,3936,2471,5194,317,7250,7118,679,4035,2581,3754,734,4212,4483,2877,7426,1970,1847,1960,701,8010,6809,4992,3647,5524,4735,8040,1916,1000,752,7278,948,206,2167,534,5139,2401,1996,1911,7913,2014,1677,6802,4068,5358,5691,5038,191,4202,7826,7031,267,2950,6573,3999,6555,4175,5935,5945,7079,121,3674,3825,5971,1133,6923,7157,4089,1823,7298,3617,2031,3711,355,5970,8012,2534,1657,6718,1139,5161,381,1509,2508,6340,6075,4759,8229,3436,3967,130,1554,7961,4211,2294,4362,1443,5230,1918,8271,1190,6448,7018,372,5280,3926,7974,2881,6236,5112,5130,7131,5926,5320,801,8282,1027,7567,2061,7899,7554,5573,7728,4699,6091,86,5582,5303,1030,7382,2027,4575,3728,6996,634,2491,2790,4186,1290,3417,3135,6398,7887,395,2672,5860,6715,6520,2216,8144,3577,6472,5051,3010,4944,8219,2822,3055,4480,1827,1335,8264,4438,6043,357,365,6633,5362,6621,605,4871,4813,2608,1658,2991,3842,4147,2315,7969,4727,8213,3816,429,7767,4810,3873,3571,6940,4763,3775,6344,6470,4192,5555,2610,3084,5607,6749,2033,1482,4460,6412,343,3369,7609,1969,5562,3144,4079,889,504,6495,4601,313,4588,7996,3182,3956,1380,5809,4223,4119,4479,5487,4441,5120,941,2252,2042,1696,949,1366,7151,5400,1400,7664,113,6219,3134,1937,7061,610,7365,6984,6216,1944,1440,5623,3259,2076,1595,7849,213,1383,1548,1653,2119,1052,2953,6291,244,461,5077,4063,4290,4991,6114,5576,4143,4796,5262,2399,3481,5984,544,342,3375,4303,6169,6734,4926,4688,5749,8232,1108,391,6205,282,4123,2329,5589,900,6523,4098,7124,4715,6859,2194,4021,1305,983,306,2780,7935,2889,349,2572,5587,2461,5143,4360,5299,1067,6024,2005,7035,3384,6721,7023,3616,3230,6108,5380,1518,5440,4640,5305,5532,6766,5172,6517,7611,6568,4567,7734,3903,3107,7494,5660,1829,427,3078,5866,1301,1048,6936,1576,3007,2414,6098,5604,402,3094,928,7199,4494,7690,2217,5473,183,2888,248,2568,5128,6396,3300,4550,3466,3815,7814,479,3316,6758,2825,2004,1071,1270,2446,1671,2171,5835,3252,1239,8062,7632,7231,1517,5083,8089,164,1439,3341,5786,2701,4234,1074,5040,129,616,2653,7055,7527,3667,1354,5554,5456,7769,5801,8073,667,2011,2962,3291,8092,302,5820,7136,7707,6437,6409,7973,1464,5330,4034,3362,1098,7886,6378,5609,4205,5780,626,7,2753,4064,1579,728,817,7888,3642,5991,6563,3162,7190,2615,3540,835,2264,4135,6226,979,4633,4306,3439,6094,8295,6707,2929,6314,6719,2276,1308,7342,1058,8262,3251,2505,1021,1341,3654,871,1490,3916,5020,314,2310,8081,4644,7123,8203,4127,3712,4653,3324,3180,3611,374,6212,2976,256,3954,1756,723,3935,7934,7759,4340,3746,1722,6625,494,3202,7597,3057,2761,8265,6601,4664,2312,3713,5197,3048,1872,6850,4416,1690,6832,6666,5694,3947,7480,3653,7565,7002,2100,3176,738,1006,6417,3702,5121,6739,3892,8199,7462,5497,2983,1373,2635,7698,239,2577,4121,3948,6778,3115,5980,8121,946,3461,4040,3368,7806,7137,6884,4900,1964,1540,6810,6636,731,2332,4082,2700,362,6183,1505,2580,2058,7065,6846,5917,3679,2884,4425,7098,2673,1706,4031,1560,316,85,7637,2108,2842,6807,4424,345,6478,3755,3193,7293,2367,1628,7071,1344,868,7425,3634,82,6744,5595,451,6603,4723,4805,6022,3900,4856,1822,1563,5670,2199,5438,5029,2870,1865,7318,3281,2311,4461,5895,6129,8155,3385,2200,4154,2029,5413,1933,7720,3201,7100,539,5978,1243,7716,2254,1396,3066,2391,399,5436,705,7450,490,5943,1205,2139,3158,3205,792,179,1434,1551,550,411,5097,1077,5570,3735,5817,6492,7506,987,1935,5337,2511,7226,5045,6235,1046,5620,4045,5811,1378,7799,7220,6377,609,5488,5940,4663,1650,5424,1946,2286,3598,5271,8177,6371,5591,2186,8235,477,3535,5406,836,2451,1495,1767,1748,4897,4259,4328,8283,6685,7862,7255,6050,2862,1718,6184,7241,3791,5286,3810,5098,5520,6491,3299,1742,4167,1932,4179,5429,6170,2507,175,2079,2783,5853,163,7788,235,4368,2521,5254,5861,3024,48,7889,406,1784,2235,4184,5787,5977,8090,3132,22,66,5553,3194,1037,6232,3313,1152,2148,788,6829,823,1264,7269,4719,5594,879,3068,675,4795,7219,198,815,2641,1669,4670,4332,1794,7063,6841,6698,2213,2686,5522,7469,3234,6500,6842,5018,4554,7863,60,3849,1618,8141,3472,5567,346,47,2246,3639,5166,1357,4534,3930,4701,3152,4798,2729,4913,2094,3929,6332,5177,891,5999,3333,6624,672,1049,1111,5350,3237,2741,2545,7187,565,1358,5789,712,6021,304,6206,5880,1781,7034,3584,1374,3063,1543,2041,2855,3856,7114,2497,4738,2356,6165,4177,3017,5419,1043,1997,2262,5629,6981,4333,2025,3766,764,7268,3665,7391,1521,7072,6590,1186,6101,5298,1155,219,4583,3931,2594,347,4457,5967,3003,2740,873,276,5321,3563,4673,602,7791,4881,3582,1172,5649,7284,8002,5580,4396,140,840,7184,3113,6028,3538,3229,4148,6009,2665,460,6413,1691,1232,6920,5655,3869,3909,1442,1795,1183,3794,1313,2214,7517,4873,4409,2919,6710,6139,5238,2763,1070,3374,7673,991,1147,2181,575,2858,417,870,7511,2387,7236,2933,1762,2456,6587,3715,1733,582,4879,1458,1318,7304,6042,462,6844,1246,3971,1592,4816,6063,6496,5622,2394,400,4282,5504,2412,3697,8182,3213,3701,4486,7218,334,1601,7138,8014,4482,6533,578,5024,5152,5367,142,4851,444,1022,5255,7815,4677,4669,7487,4608,6519,4580,856,228,7043,5666,8065,3247,4591,6333,591,5392,1433,2744,1788,7441,806,2850,7373,6656,4786,3444,5289,5844,7520,6471,542,1304,6044,3085,7159,2798,4493,6824,3403,4616,6899,4960,1882,1376,4762,1510,6728,5680,639,2875,3070,732,5105,2954,6987,5332,5062,7924,2872,3185,3786,6881,6924,4059,250,4972,3052,4256,3973,7150,8158,5203,2206,486,2650,618,6155,3373,481,3087,1386,2067,6760,5418,7402,1228,3469,4581,736,1683,4069,6800,7834,2851,7736,307,6958,763,5428,3708,1309,4357,2135,1356,3491,3452,5423,1267,3411,2053,2405,7933,6661,2569,751,2696,5459,3378,7907,2596,2274,1426,227,4804,1126,1600,1145,4857,3998,265,6096,6544,7741,4280,3843,950,7214,6330,1302,4352,117,3911,656,3297,6494,135,2233,5816,4707,3345,8156,2609,6504,3807,7030,1189,5864,4010,6811,2634,3146,8242,710,6856,684,150,4171,5096,7770,739,339,4529,7145,7282,7245,5416,1516,4755,263,2914,4125,4896,1078,6489,4218,651,8294,3354,7349,3198,5142,3020,2832,4508,3101,7353,1552,293,4169,3605,3870,1655,854,2709,3410,3453,7636,6583,1404,5590,8272,7763,6016,6150,5085,3618,970,5287,3811,614,386,922,2285,837,6255,3561,5523,3434,468,1825,3565,7779,492,7906,7049,1461,2898,4797,4994,2406,4009,6806,3906,6082,6682,472,6538,3154,3959,4954,4551,5437,6019,1527,3797,5993,3071,7103,3317,7738,4020,7467,7777,3669,7007,5342,927,315,1711,375,721,1445,2307,6349,4435,2648,3783,5190,2922,4336,8093,8245,8101,7756,2844,4922,4787,3114,2692,5063,3758,5013,1418,2016,8057,5200,4697,5037,4468,137,1636,695,5122,8152,209,1753,5627,3862,7240,727,3435,4874,3596
380	234,2163,1523,4953,7857,5300,1868,2608,4236
264	2278,2286
185	8124
257	2042,885
145	175
467	2230,7128,588,5000,3304,1196,4150,2879,3033,5614,566,4335,1486,1006,3368,4692,2507,2009,6587,5671,7836,6634,4495,3757,545
157	4344
66	8163,6798,4526,6066,3051,4745,3568
341	7730,1905,5583,1970,1243,1601
438	3011
322	2413,7505
447	3181,2965,2808,3392,706,1213,4692,2181,2909,8152
301	2203,7198,2767,4688,2961,5020,7137,896
266	7564
493	6539,277,7679,7624,299,1699,6520,6984,3604,3968,7330,2665,4979
482	4785,5813,2381,1448,2239,3081,3658,1675,1474,520,7587,3692,1273,2017,4483,8010,2269,138,1133,5664,754,2461,6890,3979,6855,6628,6022,6599,6258,6829,7277,2883,840,3869,3522,3426,5423,3354,3763
12	6224,1797,413
67	2391
