432,213,352,275,286,205,196,373,247,166;0;0;-;-;-
62,147,358,96,146,373,114,210,214,20;1;3109,7294,4043,5062,2238,1352,158,455,331,4297;10;4
215,75,458,378,286,278,331,174,123,408;1;1613,7866,3876,1962,2845,6834,725,1979,994,10;10;4
178,248,138,131,203,317,473,216,253,102;1;4373,6795,6464,6645,2521,756,30,1857,1700,150;10;4
245,290,171,122,345,44,32,124,63,274;1;1802,4910,5731,2765,3759,1913,917,635,1098;9;4
422,72,144,435,69,470,174,203,99,4;1;2241,5850,1976,6439,3876,536,4319,756,4065,695;10;4
263,466,209,68,464,69,184,26,103,37;1;3078,6186,2713,3152,7574,6632,39,4065,3645,635;10;5
234,114,21,290,116,374,106,399,156,474;1;8248,4043,218,6399,1441,3919,1483,4433,3117,2237;10;5
80,381,152,151,219,390,197,362,109,139;1;1093,342,3537,306,233,1940,2500,5100,27,180;10;4
282,388,434,138,157,299,33,75,469,191;1;2813,7252,7505,916,5445,1618,1700,5684,2062;9;4
437,178,381,183,6,434,151,5,60,148;1;1599,4373,7733,5371,895,1977,3766,5100,286,1549;10;5
381,38,306,320,105,111,299,21,227,275;1;6471,4486,3713,513,7252,8047,1589,3919,1646,44;10;4
257,65,341,67,396,57,345,451,70,77;1;2204,5909,5731,5991,7265,3540,3034,6481,7961,1813;10;4
145,62,187,114,1,361,380,274,414,430;1;3109,5345,4043,1707,1913,824,2867,764,873;9;4
468,176,472,396,409,201,120,164,457,160;1;5778,7222,1230,7498,2902,587,606,3576,1667,1075;10;4
172,457,417,282,392,49,30,279,351,366;1;2902,5305,1623,7995,3271,950,2137,3850,1100,2433;10;4
338,470,234,91,181,267,17,388,362,351;1;6439,8248,2029,2813,5880,3068,269,1102,1565,6554;10;5
84,45,305,294,60,12,44,394,458,436;1;4942,5765,37,39,3918,3243,7931,1977,1962,917;10;4
254,92,413,279,202,236,163,239,102,273;1;4394,8021,4317,7050,2423,3103,392,6624,3258,319;10;5
73,276,32,190,136,107,320,384,125,27;1;661,8244,416,6229,565,1646,39,178,1307,8;10;4
58,438,3,127,220,204,70,237,141,325;1;5645,5991,2652,6182,5461,1052,6422,99,345,110;10;4
386,297,440,431,78,194,70,242,295,341;1;2596,7266,5233,8212,106,424,5991,5164,5909,1834;10;4
471,219,453,380,374,286,224,30,211,346;1;7181,218,7866,3537,3587,857,1154,2137,873,132;10;4
430,97,417,151,31,88,191,35,113,82;1;1707,5305,916,6439,559,5100,2781,6613,913,761;10;4
22,250,186,243,179,375,316,409,98,62;1;7222,5339,3109,161,2619,4364,2016,4962,1319,1394;10;4
411,370,290,175,136,47,334,456,359,169;1;800,6112,7347,4602,8028,8262,4753,6229,6829,2135;10;5
360,382,356,445,377,309,216,284,471,84;1;4482,5848,6903,1595,7181,1794,7931,6660,994,959;10;6
372,140,420,283,326,199,314,49,250,270;1;6998,1762,1246,1623,2148,23,191,4962,178,59;10;4
237,157,215,58,146,155,421,92,140,253;1;2652,1613,5645,1792,6645,4554,7050,23,5818,1700;10;4
82,129,252,113,60,412,88,150,413,437;1;4810,7451,1599,559,1977,2423,1487,3449,6613,7871;10;4
184,412,367,383,404,296,206,266,205,80;1;3152,8180,7904,8147,5102,4213,2787,5452,7871,155;10;4
411,69,440,198,441,431,265,285,129,169;1;800,5233,6487,8212,948,4810,8262,4065,1520,72;10;5
5,315,28,209,207,87,13,429,92,378;1;5371,6291,1362,3435,7050,2092,1323,2972,600,1644;10;5
434,266,270,35,229,305,468,184,212,105;1;2148,5765,3152,6650,3713,286,1154,1191,155;9;5
375,468,161,433,31,36,202,120,227,237;1;1230,8047,2652,161,6439,6901,2802,3803,4124,150;10;4
105,332,412,252,407,286,440,257,416,163;1;3713,7451,1416,7866,5233,2204,8021,4008,7871,2511;10;5
259,315,376,83,448,292,453,262,346,364;1;429,1612,554,4068,1049,3587,857,746,1323,68;10;3
230,35,471,421,84,365,153,239,386,366;1;1576,7181,2596,2529,633,3305,950,802,842,377;10;4
6,343,26,473,48,352,28,261,380,262;1;7733,6464,3600,1612,5437,7717,2360,873,182,72;10;4
133,202,182,30,92,283,271,236,386,329;1;3054,4394,2596,3209,7050,797,392,2137,941,766;10;4
122,434,399,152,63,444,160,45,295,51;1;4910,1441,1093,4942,5164,3686,3759,587,5684,20;10;4
411,355,100,136,311,144,96,308,197,323;1;800,6511,1976,342,6282,1337,6229,3307,41,30;10;5
275,371,208,426,141,250,3,277,467,264;1;1589,1798,2592,7759,2257,1584,4962,2256,1031,977;10;4
70,155,390,218,388,72,473,354,99,211;1;5991,1792,2813,5850,6464,306,4979,3832,1203,86;10;4
342,260,264,2,458,400,53,440,119,55;1;554,5253,5233,2728,2643,2969,1962,6496,1003,1103;10;4
461,416,292,232,267,282,325,165,446,359;1;800,6182,3637,8028,1102,5445,4008,746,2909,1024;10;4
396,63,286,345,445,358,90,342,265,379;1;7866,5731,5848,554,1552,3759,4534,6481,2379,68;10;4
146,309,45,440,157,263,96,115,147,21;1;6903,4942,5233,3078,2905,2238,3919,158,289,370;10;5
324,457,413,393,373,166,444,452,58,349;1;2902,7294,5645,4508,2423,3563,6128,6255,1159,20;10;4
52,114,359,98,310,428,325,245,413,105;1;4043,8028,5339,358,6892,6182,3713,6423,2423;9;4
