86	145
62	140
159	129
31	145
35	143
108	145
97	146
41	146
160	126
170	141
117	64
57	146
76	145
128	142
169	141
65	145
101	140
18	146
69	140
91	146
27	146
118	137
17	146
39	146
77	145
99	145
4	146
14	144
28	146
48	145
102	146
38	146
25	146
109	143
126	137
49	147
24	146
111	141
2	147
161	141
12	146
7	146
15	147
81	147
55	146
60	146
11	140
50	145
10	146
71	146
6	146
112	139
84	146
98	145
33	143
16	146
87	145
54	146
90	144
67	146
137	139
92	145
100	146
58	146
83	146
152	144
64	140
158	137
37	146
94	146
113	123
95	146
45	146
20	143
127	133
85	146
157	145
34	146
105	145
51	144
42	146
30	140
36	145
44	146
116	125
43	147
22	145
5	144
82	145
129	142
125	137
73	145
3	146
130	133
26	145
61	141
23	145
63	144
96	146
68	144
40	145
59	145
154	143
89	147
75	146
134	145
74	146
70	147
121	139
29	146
47	147
56	146
93	146
103	145
136	145
168	140
19	144
142	121
13	145
53	146
0	146
9	145
139	139
167	145
141	142
104	145
122	131
79	147
21	139
46	144
110	138
138	144
1	145
135	141
66	140
132	143
153	145
32	146
131	142
8	146
80	146
88	146
140	140
52	146
133	145
143	138
78	145
72	146
