19,440,484
216,474,41
456,209,136
290,452,448
302,59,163
110,336,22
54,137,161
30,324,453
231,24,276
404,104,147
50,282,472
482,264,486
296,73,231
119,454,4
98,225,263
211,63,270
195,416,113
336,131,375
246,19,498
249,181,167
280,466,445
323,488,110
351,99,207
307,235,338
178,337,121
304,498,439
60,96,292
201,239,393
240,453,491
467,114,96
39,461,13
278,266,16
10,253,6
249,287,482
370,267,479
150,303,420
349,92,215
108,46,300
470,72,370
119,171,7
279,113,404
166,150,420
29,374,89
108,299,388
252,411,461
94,296,99
340,282,7
377,100,210
483,208,15
242,284,23
