311,223,19,440,484
31,214,216,474,41
453,302,456,209,136
294,153,290,452,448
95,164,302,59,163
490,3,110,336,22
226,6,54,137,161
200,451,30,324,453
427,481,231,24,276
232,238,404,104,147
393,451,50,282,472
375,9,482,264,486
336,180,296,73,231
414,391,119,454,4
116,363,98,225,263
134,301,211,63,270
298,226,195,416,113
255,444,336,131,375
272,64,246,19,498
485,340,249,181,167
374,227,280,466,445
368,22,323,488,110
493,182,351,99,207
273,432,307,235,338
126,169,178,337,121
172,96,304,498,439
381,37,60,96,292
106,242,201,239,393
44,464,240,453,491
3,401,467,114,96
331,339,39,461,13
470,371,278,266,16
290,78,10,253,6
315,214,249,287,482
496,459,370,267,479
158,177,150,303,420
430,332,349,92,215
237,161,108,46,300
473,222,470,72,370
456,334,119,171,7
457,177,279,113,404
490,202,166,150,420
120,292,29,374,89
37,85,108,299,388
103,465,252,411,461
26,404,94,296,99
182,413,340,282,7
187,291,377,100,210
188,275,483,208,15
95,82,242,284,23
