294,238,45
49,347,313
70,108,63
240,180,46
430,477,347
274,44,332
401,144,67
21,352,158
384,212,60
122,52,104
435,231,109
120,195,6
350,425,84
78,233,290
122,375,407
485,86,388
103,143,278
477,404,247
143,298,212
109,305,203
170,469,109
39,74,125
155,343,36
429,134,479
319,494,276
201,455,448
251,289,436
426,436,144
433,158,50
252,484,393
143,218,265
473,368,225
479,356,493
146,248,126
170,491,178
136,371,374
211,488,259
437,337,137
283,26,28
304,373,54
110,35,480
410,320,347
45,327,461
82,369,47
168,1,69
362,330,481
59,209,184
274,115,224
89,259,327
291,260,18
