245,384,294,238,45
108,248,49,347,313
300,79,70,108,63
389,59,240,180,46
315,44,430,477,347
300,129,274,44,332
275,44,401,144,67
94,264,21,352,158
45,156,384,212,60
257,369,122,52,104
185,131,435,231,109
384,9,120,195,6
195,260,350,425,84
158,309,78,233,290
107,444,122,375,407
160,103,485,86,388
164,494,103,143,278
177,294,477,404,247
168,252,143,298,212
461,43,109,305,203
47,325,170,469,109
261,254,39,74,125
415,363,155,343,36
456,427,429,134,479
193,290,319,494,276
172,71,201,455,448
172,322,251,289,436
321,107,426,436,144
380,288,433,158,50
299,196,252,484,393
438,475,143,218,265
257,46,473,368,225
206,350,479,356,493
200,348,146,248,126
84,100,170,491,178
461,230,136,371,374
169,480,211,488,259
73,472,437,337,137
74,371,283,26,28
469,77,304,373,54
467,496,110,35,480
21,479,410,320,347
319,465,45,327,461
379,416,82,369,47
27,81,168,1,69
109,448,362,330,481
346,226,59,209,184
4,45,274,115,224
265,312,89,259,327
258,3,291,260,18
