264,261,129,129,263,245,384,294,238,45
372,416,122,179,423,108,248,49,347,313
326,308,226,387,486,300,79,70,108,63
278,340,378,486,320,389,59,240,180,46
206,223,93,131,135,315,44,430,477,347
239,311,247,445,389,300,129,274,44,332
467,1,318,179,450,275,44,401,144,67
383,247,59,184,96,94,264,21,352,158
424,106,13,402,476,45,156,384,212,60
487,248,202,402,410,257,369,122,52,104
199,389,220,33,142,185,131,435,231,109
324,381,182,213,415,384,9,120,195,6
138,323,78,85,30,195,260,350,425,84
374,399,277,328,132,158,309,78,233,290
147,153,89,498,58,107,444,122,375,407
1,181,383,196,352,160,103,485,86,388
224,15,313,399,237,164,494,103,143,278
478,376,140,262,370,177,294,477,404,247
140,402,193,485,304,168,252,143,298,212
498,481,157,143,156,461,43,109,305,203
288,458,345,28,217,47,325,170,469,109
296,372,358,160,41,261,254,39,74,125
442,498,174,369,127,415,363,155,343,36
287,148,239,161,375,456,427,429,134,479
405,126,119,408,77,193,290,319,494,276
161,337,344,249,404,172,71,201,455,448
416,46,85,20,360,172,322,251,289,436
128,214,350,29,491,321,107,426,436,144
334,222,66,279,162,380,288,433,158,50
425,3,463,472,428,299,196,252,484,393
301,240,419,11,107,438,475,143,218,265
222,322,199,25,14,257,46,473,368,225
175,98,498,80,178,206,350,479,356,493
337,149,313,105,477,200,348,146,248,126
2,422,98,82,359,84,100,170,491,178
129,313,131,494,80,461,230,136,371,374
426,143,84,481,117,169,480,211,488,259
294,104,360,362,405,73,472,437,337,137
1,35,458,127,265,74,371,283,26,28
418,216,486,408,374,469,77,304,373,54
441,170,28,489,306,467,496,110,35,480
353,315,84,232,185,21,479,410,320,347
385,469,495,306,60,319,465,45,327,461
127,414,240,118,151,379,416,82,369,47
401,76,114,33,435,27,81,168,1,69
411,275,339,313,368,109,448,362,330,481
425,322,83,394,480,346,226,59,209,184
483,185,486,161,72,4,45,274,115,224
65,151,153,289,103,265,312,89,259,327
295,370,164,241,238,258,3,291,260,18
