28049	213
5101	211
5077	213
544	213
4495	211
37398	213
7445	213
7449	213
723	213
28297	212
384	213
73467	213
13644	212
2919	213
34825	211
2525	213
5069	210
1130	213
40933	210
4370	213
37296	209
30258	211
1319	212
5144	211
6621	199
16190	213
11017	212
9443	213
627	211
16644	213
23872	213
1923	213
1034	212
17545	213
15	213
658	210
16139	212
1351	211
24781	212
1135	212
12953	212
1323	213
3706	213
2812	213
5175	213
973	212
4550	211
3321	210
60671	210
6352	213
15061	213
24404	213
4391	202
39683	212
5291	213
5075	211
2015	212
5831	213
56	213
17567	210
3438	212
46823	213
5315	213
2467	213
2913	213
20301	213
1653	212
28082	213
53	210
11752	213
12862	212
7970	213
1931	213
18681	209
7681	213
6112	212
70577	213
3479	213
30937	202
34890	204
1958	212
4779	211
1099	212
4563	211
5428	213
28576	213
7868	213
12956	213
3888	211
5758	209
1688	212
13307	213
893	213
27352	213
938	212
25929	212
1262	210
151	213
29922	208
6418	209
11666	213
73519	213
12326	213
44644	212
11363	213
62046	208
2705	210
125	211
40154	212
62254	212
9056	213
6096	209
10529	211
33762	211
23992	213
4537	212
4611	211
6192	209
3264	211
856	208
1383	213
5336	213
660	212
6205	213
17205	213
2510	212
20653	210
2972	213
21637	213
1570	211
4845	213
6850	210
11568	213
27014	213
1751	213
28044	213
1064	212
19885	213
12138	213
948	212
1856	211
9841	213
4145	213
30195	212
1148	209
18322	211
4555	211
32486	211
37198	212
2879	213
1658	211
4128	211
10756	212
2977	213
3704	213
11483	210
695	213
6434	210
5960	213
4486	211
33382	210
563	213
26407	211
1343	212
26339	213
3270	211
7485	213
6757	213
73509	213
4691	211
531	194
8526	212
9826	211
1563	213
12068	213
1370	213
2267	211
15913	207
30485	213
4714	213
9623	213
1092	213
73495	213
3725	213
2785	207
11115	211
8651	213
3397	210
3352	212
3807	213
17509	213
36468	213
4640	212
12314	213
33768	212
13985	213
509	213
29917	213
3037	211
4759	210
1346	213
40227	213
949	211
10306	212
1068	213
13930	210
4599	211
39849	213
5579	212
2244	213
4086	213
183	212
69620	210
38627	212
